,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
14865,Bodily Force,Male,White,Unspecified,King Field,Person with a Gun ,DASLT2
14866,Bodily Force,Female,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
14867,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,LOITER
14868,Bodily Force,Male,Black,Tensed,CARAG,Disturbance ,OBSTRU
14869,Chemical Irritant,Male,Black,Commission of Crime,North Loop,Fight ,FORCE
14870,Chemical Irritant,Male,Black,Commission of Crime,North Loop,Fight ,FORCE
14871,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,DOMEN
14872,Bodily Force,Male,Other / Mixed Race,Unspecified,Longfellow,Suspicious Person ,DAMPRP
14873,Taser,Male,Black,Fled on Foot,Hawthorne,Unknown Wireless/Cell Phone,WEAP
14874,Taser,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
14875,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Check the Welfare ,FLEEFT
14876,Bodily Force,Male,White,Tensed,Central,Unwanted Person ,OBSTRU
14877,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,TRSPAS
14878,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Foot Beat ,FORCE
14879,Bodily Force,Male,Native American,Commission of Crime,Ventura Village,Person with a Weapon ,ASLT4
14880,Bodily Force,Male,Native American,Verbal Non-Compliance,Minnehaha,Damage Property-In Progress,OBSTRU
14881,Bodily Force,Male,Black,Assaulted Officer,CARAG,Motor Vehicle Chase ,FLEE
14882,Bodily Force,Male,Native American,Assaulted Officer,Midtown Phillips,Burglary Biz - In Progress ,BURGD
14883,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE
14884,Taser,Male,White,Tensed,McKinley,Unknown Trouble ,OBSTRU
14885,Bodily Force,Male,White,Assaulted Officer,West Calhoun,Disturbance ,DISCON
14886,Bodily Force,Male,White,Tensed,King Field,Slumper w/Fire ,DWIREF
14887,Bodily Force,Male,White,Commission of Crime,North Loop,Suspicious Person ,OBSTRU
14888,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
14889,Bodily Force,Female,not recorded,Assaulted Officer,Near - North,Emotionally Disturb Person ,CIC
14890,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Suspicious Person ,OBSTRU
14891,Bodily Force,Male,Black,Unspecified,Jordan,Miscellaneous ,NARC
14892,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Officer Needs Help ,ASLT4
14893,Taser,Male,White,Commission of Crime,Whittier,Unwanted Person ,OBSTRU
14895,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
14896,Bodily Force,Male,Other / Mixed Race,Tensed,Whittier,Emotionally Disturb Person ,THREAT
14897,Bodily Force,Male,Black,Fled on Foot,Jordan,Chase on Foot ,TFMV
14898,Chemical Irritant,Female,White,Commission of Crime,Downtown West,Suspicious Person ,DISCON
14899,Bodily Force,Male,Asian,Fled on Foot,Marcy Holmes,Suspicious Person ,OBSTRU
14900,Chemical Irritant,Male,Black,Unspecified,Harrison,Traffic Law Enforcement ,DISCON
14901,Bodily Force,Male,White,Unspecified,Victory,Burglary Dwlng In Progress ,BURGD
14902,Bodily Force,Female,Black,Tensed,Steven's Square - Loring Heights,Assist a Disabled Person ,MISC
14903,Bodily Force,Male,White,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4
14904,Police K9 Bite,Male,Black,Commission of Crime,Hale,Suspicious Vehicle ,RECVEH
14905,Bodily Force,Male,Black,Commission of Crime,Jordan,Unknown Trouble ,DEPCPR
14906,Bodily Force,Male,Black,Tensed,University of Minnesota,Suspicious Person ,DISCON
14907,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT3
14908,Chemical Irritant,Female,Black,Assaulted Officer,Longfellow,Customer Trouble ,ASLT4
14909,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON
14910,Bodily Force,Male,Black,Tensed,East Phillips,Traffic Law Enforcement ,OBSTRU
14911,Bodily Force,Male,White,Commission of Crime,Loring Park,Property Damage Accident ,POSDPA
14912,Bodily Force,Male,White,Verbal Non-Compliance,Holland,Down Outside-One ,OBSTRU
14913,Bodily Force,Male,White,Tensed,Lynnhurst,Customer Trouble ,THREAT
14914,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Person with a Gun ,NARC
14915,Bodily Force,Male,Native American,Tensed,Lyndale,Emotionally Disturb Person ,CIC
14916,Taser,Male,Other / Mixed Race,Unspecified,Whittier,Domestic with Weapons ,DASLT2
14917,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Chase on Foot ,LOITER
14918,Chemical Irritant,Male,Other / Mixed Race,Assaulted Officer,Mid - City Industrial,Fight ,ASLT4
14919,Bodily Force,Male,White,Tensed,Hawthorne,Fight ,OBSTRU
14920,Bodily Force,Male,Black,Commission of Crime,Webber - Camden,Miscellaneous ,ASLT2
14921,Bodily Force,Female,Black,Fled on Foot,Hawthorne,Suspicious Person ,THEFT
14922,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Marcy Holmes,Suspicious Person ,OBSTRU
14923,Bodily Force,Female,Black,Unspecified,Downtown West,Disturbance ,DISCON
14924,Bodily Force,Male,Black,Tensed,McKinley,Assault in Progress ,OBSTRU
14925,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Downtown West,Fight ,FORCE
14926,Chemical Irritant,Female,Other / Mixed Race,Unspecified,Downtown West,On Site ,DISCON
14927,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Suspicious Person ,NARC
14928,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Domestic Abuse-In Progress ,FLEEFT
14929,Firearm,Male,Black,Assaulted Officer,Jordan,Person with a Gun ,ROBPAG
14930,Bodily Force,Male,Native American,Commission of Crime,Columbia Park,Person with a Gun ,DASLT5
14931,Chemical Irritant,Male,Black,Unspecified,Webber - Camden,Traffic Law Enforcement ,NARC
14932,Taser,Male,Black,Commission of Crime,Downtown West,Disturbance ,FLEEFT
14933,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Chase on Foot ,FLEEFT
14934,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
14935,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,OBSTRU
14936,Bodily Force,Male,Black,Unspecified,Downtown West,Theft ,LOITER
14937,Bodily Force,Male,Black,Tensed,Como,Assist Other Agency ,AOA
14938,Bodily Force,Male,White,Unspecified,Lyndale,Suspicious Vehicle ,NARC
14939,Taser,Male,White,Verbal Non-Compliance,Downtown West,Fight ,FORCE
14940,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
14941,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,ASLT2
14942,Bodily Force,Male,White,Fled on Foot,Cedar Riverside,Transportation ,FORCE
14943,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,CURFEW
14944,Bodily Force,Male,Native American,Unspecified,Elliot Park,Burglary Dwlng In Progress ,BURGD
14945,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Domestic Abuse-In Progress ,DOMEN
14946,Taser,Male,Black,Fled on Foot,North Loop,Miscellaneous ,NARC
14947,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
14948,Bodily Force,Male,White,Tensed,Hawthorne,Fight ,DASLT5
14949,Taser,Male,Black,Commission of Crime,Lowry Hill East,Assault in Progress ,INFO
14950,Gun Point Display,Male,White,Commission of Crime,Jordan,Miscellaneous ,FLEE
14951,Improvised Weapon,Male,Black,Fled on Foot,Whittier,Suspicious Vehicle ,FLEE
14952,Bodily Force,Male,Asian,Unspecified,Bancroft,Domestic Abuse-In Progress ,DASLT5
14953,Bodily Force,Male,White,Fled on Foot,Marcy Holmes,Suspicious Person ,ASMBLY
14954,Bodily Force,Male,Black,Fled on Foot,McKinley,Robbery of Person ,ROBPAG
14955,Bodily Force,Male,Black,Unspecified,Ventura Village,Suspected Hazard ,DAMMV
14956,Bodily Force,Male,White,Tensed,Lowry Hill East,Suspicious Person ,DISCON
14957,Bodily Force,Male,Black,Unspecified,Downtown West,Chase on Foot ,DAMPRP
14958,Bodily Force,Female,Black,Verbal Non-Compliance,Downtown West,Assault in Progress ,OBSTRU
14959,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
14960,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
14961,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE
14962,Taser,Male,Other / Mixed Race,Fled on Foot,Downtown West,Suspicious Person ,TFPER
14963,Chemical Irritant,Male,White,Unspecified,Lowry Hill East,Fight ,DISCON
14964,Chemical Irritant,Female,Black,Verbal Non-Compliance,Midtown Phillips,Walk Through a Building ,DASLT5
14965,Bodily Force,Female,Black,Commission of Crime,Downtown West,Assist EMS Personnel ,OBSTRU
14966,Bodily Force,Male,Native American,Commission of Crime,Ventura Village,Person with a Weapon ,ASLT4
14967,Bodily Force,Male,Black,Commission of Crime,Jordan,Officer Needs Help ,OBSTRU
14968,Bodily Force,Male,Black,Fled in Vehicle,Lyndale,Motor Vehicle Chase ,FLEE
14969,Bodily Force,Male,Black,Assaulted Officer,Minnehaha,Domestic Abuse-In Progress ,ASLT4
14970,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Person with a Gun ,WEAP
14971,Bodily Force,Male,White,Assaulted Officer,Downtown West,Fight ,ASLT4
14972,Bodily Force,Female,White,Assaulted Officer,McKinley,Suspicious Vehicle ,ASLT4
14973,Bodily Force,Male,Black,Unspecified,Jordan,Fight ,FLEE
14974,Chemical Irritant,Female,Black,Commission of Crime,Hawthorne,On Site ,FORCE
14975,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Miscellaneous ,DISCON
14976,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assist EMS Personnel ,ASLT4
14977,Bodily Force,Male,White,Unspecified,Waite Park,Suspicious Person ,ASLT4
14978,Bodily Force,Male,White,Tensed,Standish,Unwanted Person ,NARC
14979,Bodily Force,Male,Black,Tensed,Longfellow,Unknown Wireless/Cell Phone,OBSTRU
14980,Bodily Force,Male,Black,Fled in Vehicle,Bancroft,Motor Vehicle Chase ,FLEE
14981,Bodily Force,Male,Black,Tensed,Seward,Attempted Suicide ,HLTWEL
14982,Bodily Force,Male,Black,Fled on Foot,McKinley,Robbery of Person ,ROBPAG
14983,Bodily Force,Male,Black,Unspecified,Folwell,Suspicious Vehicle ,WEAP
14984,Bodily Force,Female,White,Commission of Crime,St. Anthony East,Fight ,OBSTRU
14985,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Motor Vehicle Chase ,FLEE
14986,Bodily Force,Male,Other / Mixed Race,Tensed,Phillips West,Suspicious Vehicle ,DWI
14987,Bodily Force,Male,Black,Commission of Crime,Downtown West,Officer Needs Help ,OBSTRU
14988,Gun Point Display,Male,Native American,Verbal Non-Compliance,Whittier,Person with a Gun ,BURGD
14989,Taser,Female,Black,Assaulted Officer,Near - North,Fight ,ASLT4
14990,Bodily Force,Male,Black,Tensed,Near - North,Fight ,OBSTRU
14991,Taser,Male,White,Tensed,Central,Emotionally Disturb Person ,CIC
14992,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Gun ,THREAT
14993,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
14994,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
14995,Bodily Force,Male,Other / Mixed Race,Unspecified,Longfellow,Suspicious Person ,DAMPRP
14996,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE
14997,Bodily Force,Male,Black,Assaulted Officer,Near - North,Person with a Gun ,ASLT4
14998,Baton,Male,Black,Unspecified,Ventura Village,Traffic Law Enforcement ,NARC
14999,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15000,Bodily Force,Male,White,Tensed,Lowry Hill,Emotionally Disturb Person ,OD
15001,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Foot Beat ,FORCE
15002,Bodily Force,Male,White,Verbal Non-Compliance,Webber - Camden,Unknown Trouble ,OBSTRU
15003,Bodily Force,Male,Native American,Commission of Crime,McKinley,Burglary Dwlng In Progress ,BURGD
15004,Bodily Force,Female,Black,Tensed,Jordan,Suspicious Vehicle ,OBSTRU
15005,Chemical Irritant,Male,Other / Mixed Race,Commission of Crime,Downtown West,Fight ,FORCE
15006,Gun Point Display,Male,White,Tensed,Windom Park,Traffic Law Enforcement ,DWI
15007,Bodily Force,Male,Black,Fled on Foot,Powderhorn Park,Chase on Foot ,FALSNM
15008,Chemical Irritant,Male,Black,Commission of Crime,Hawthorne,Person with a Gun ,FORCE
15009,Bodily Force,Male,White,Tensed,Steven's Square - Loring Heights,Domestic Abuse-In Progress ,DASLT5
15010,Bodily Force,Male,Black,Tensed,University of Minnesota,Suspicious Person ,DISCON
15011,Bodily Force,Male,Other / Mixed Race,Fled in Vehicle,Central,Suspicious Vehicle ,FLEE
15012,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,FLEEFT
15013,Bodily Force,Male,Black,Tensed,Downtown West,Theft ,SHOPLF
15014,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Person with a Gun ,WEAP
15015,Taser,Male,Black,Tensed,Hawthorne,Suspicious Person ,DISCON
15016,Bodily Force,Male,Black,Tensed,East Phillips,Traffic Law Enforcement ,OBSTRU
15017,Bodily Force,Male,Black,Tensed,Lowry Hill East,Suspicious Person ,DISCON
15018,Bodily Force,Male,Black,Fled on Foot,Downtown West,Theft-Hold One Cooperative ,BURGB
15019,Bodily Force,Male,Black,Unspecified,Downtown West,Unwanted Person ,DISCON
15020,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
15021,Chemical Irritant,Male,Black,Commission of Crime,Cedar Riverside,Disturbance ,ASLT4
15022,Taser,Male,Black,Commission of Crime,Phillips West,Motor Vehicle Chase ,FLEE
15023,Bodily Force,Female,Black,Assaulted Officer,Mid - City Industrial,Fight ,ASLT4
15024,Chemical Irritant,Female,White,Commission of Crime,Downtown West,Officer Needs Help ,OBSTRU
15025,Bodily Force,Male,Black,Tensed,East Phillips,Traffic Law Enforcement ,OBSTRU
15026,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DAMPRP
15027,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Marcy Holmes,Suspicious Person ,OBSTRU
15028,Bodily Force,Male,Black,Tensed,Downtown West,Fight ,DISCON
15029,Bodily Force,Male,Black,Fled on Foot,Downtown West,Miscellaneous ,CIC
15030,Bodily Force,Male,Native American,Tensed,Lyndale,Emotionally Disturb Person ,CIC
15031,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,WT
15032,Bodily Force,Male,Black,Fled on Foot,Jordan,Burglary Dwlng In Progress ,BURGD
15033,Bodily Force,Male,Black,Fled on Foot,Near - North,Person with a Gun ,WEAP
15034,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Domestic Abuse-In Progress ,FLEEFT
15035,Bodily Force,Male,Black,Commission of Crime,Near - North,Suspicious Vehicle ,OBSTRU
15036,Bodily Force,Male,Black,Unspecified,Webber - Camden,Traffic Law Enforcement ,NARC
15037,Bodily Force,Male,White,Tensed,North Loop,Damage Property-In Progress,DISCON
15038,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Chase on Foot ,FLEEFT
15039,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,THEFT
15040,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,OBSTRU
15041,Bodily Force,Female,Black,Assaulted Officer,Bancroft,Unknown Trouble ,ASLT4
15042,Bodily Force,Male,Other / Mixed Race,Tensed,Central,Traffic Law Enforcement ,TLE
15043,Bodily Force,Male,Black,Tensed,Como,Assist Other Agency ,AOA
15044,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Fight ,ASLT4
15045,Taser,Male,White,Verbal Non-Compliance,Downtown West,Fight ,FORCE
15046,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
15047,Bodily Force,Male,Black,Fled in Vehicle,Midtown Phillips,Suspicious Vehicle ,FLEE
15048,Taser,Male,White,Tensed,Loring Park,Damage Property-In Progress,CIC
15049,Bodily Force,Male,White,Fled on Foot,Holland,Traffic Law Enforcement ,FLEEFT
15050,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Unknown Trouble ,DASTR
15051,Bodily Force,Male,Black,Commission of Crime,Longfellow,Domestic Abuse-In Progress ,DASTR
15052,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Gun ,FALRPI
15053,Bodily Force,Female,Black,Fled on Foot,Downtown West,Fight ,FLEEFT
15054,Taser,Male,Black,Commission of Crime,Lowry Hill East,Assault in Progress ,INFO
15055,Improvised Weapon,Male,Black,Fled on Foot,Jordan,Chase on Foot ,FLEEFT
15056,Bodily Force,Male,Black,Unspecified,Jordan,Miscellaneous ,NARC
15057,Bodily Force,Male,White,Tensed,Cleveland,Burglary Dwlng In Progress ,911INT
15058,Chemical Irritant,Male,White,Commission of Crime,Como,Transportation ,DISCON
15059,Bodily Force,Male,Black,Fled on Foot,Lind - Bohanon,Suspicious Person ,WT
15060,Chemical Irritant,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON
15061,Bodily Force,Male,Black,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT5
15062,Bodily Force,Male,White,Tensed,Marcy Holmes,Unwanted Person ,OBSTRU
15063,Chemical Irritant,Male,Black,Tensed,Downtown West,Assist EMS Personnel ,ASLT5
15064,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
15065,Bodily Force,Female,Black,Verbal Non-Compliance,Jordan,Domestic ,ASLT4
15066,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
15067,Gun Point Display,Male,White,Fled on Foot,CARAG,Domestic Abuse-In Progress ,CSCR
15068,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
15069,Chemical Irritant,Male,Black,Unspecified,Downtown West,Fight ,FORCE
15070,Bodily Force,Male,Black,Fled on Foot,Jordan,Disturbance ,FLEEFT
15071,Bodily Force,Male,White,Tensed,Central,Unwanted Person ,OBSTRU
15072,Bodily Force,Male,White,Tensed,East Isles,Suspicious Person ,FORCE
15073,Bodily Force,Female,White,Assaulted Officer,Wenonah,Domestic Abuse-In Progress ,DASTR
15074,Bodily Force,Male,Black,Assaulted Officer,Minnehaha,Domestic Abuse-In Progress ,ASLT4
15075,Chemical Irritant,Female,Other / Mixed Race,Verbal Non-Compliance,Near - North,Person with a Weapon ,PRIORI
15076,Bodily Force,Male,Black,Tensed,McKinley,Fight ,DISCON
15077,Bodily Force,Male,White,Assaulted Officer,Longfellow,Suspicious Person ,ASLT3
15078,Bodily Force,Male,Black,Tensed,Cleveland,Traffic Law Enforcement ,OBSTRU
15079,Bodily Force,Male,White,Assaulted Officer,Downtown West,Fight ,ASLT4
15080,Bodily Force,Male,White,Commission of Crime,Lowry Hill East,Suspicious Person ,OBSTRU
15081,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assist EMS Personnel ,ASLT4
15082,Bodily Force,Male,White,Unspecified,Waite Park,Suspicious Person ,ASLT4
15083,Bodily Force,Male,Black,Commission of Crime,Loring Park,Suspicious Vehicle ,NARC
15084,Bodily Force,Female,White,Tensed,Central,Person with a Weapon ,OBSTRU
15085,Taser,Male,not recorded,Commission of Crime,Hiawatha,Check the Welfare ,CIC
15086,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,CIC
15087,Bodily Force,Male,Black,Tensed,Folwell,Suspicious Person ,OBSTRU
15088,Bodily Force,Male,Black,Tensed,Beltrami,Domestic ,PRIORI
15089,Bodily Force,Male,Black,Verbal Non-Compliance,Webber - Camden,Domestic Abuse-In Progress ,DASLT5
15090,Bodily Force,Male,White,Tensed,North Loop,Unknown Wireless/Cell Phone,FORCE
15091,Bodily Force,Male,Other / Mixed Race,Tensed,East Phillips,Suspicious Person ,POSDPA
15092,Bodily Force,Male,White,Tensed,St. Anthony East,Suspicious Vehicle ,NARC
15093,Bodily Force,Male,Black,Commission of Crime,Downtown West,Officer Needs Help ,OBSTRU
15094,Bodily Force,Male,Black,Fled on Foot,Midtown Phillips,Suspicious Person ,FLEEFT
15095,Bodily Force,Male,Black,Commission of Crime,Seward,Unknown Trouble ,DASLT2
15096,Bodily Force,Male,Black,Tensed,Hawthorne,Officer Needs Help ,ASLT2
15097,Bodily Force,Male,Black,Fled on Foot,Cleveland,Suspicious Person ,NARC
15098,Chemical Irritant,Male,Black,Tensed,Downtown West,Assist EMS Personnel ,ASLT5
15099,Bodily Force,Male,Black,Tensed,Jordan,Domestic ,ASLT4
15100,Taser,Male,Black,Tensed,Jordan,Domestic ,ASLT4
15101,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,FORCE
15102,Bodily Force,Male,Black,Assaulted Officer,Near - North,Person with a Gun ,ASLT4
15103,Gun Point Display,Male,Black,Unspecified,Ventura Village,Traffic Law Enforcement ,NARC
15104,Bodily Force,Male,Native American,Commission of Crime,East Phillips,Fight ,DAMPRP
15105,Gun Point Display,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON
15106,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,NARC
15107,Bodily Force,Male,Black,Tensed,Downtown West,Assist EMS Personnel ,OBSTRU
15108,Chemical Irritant,Male,Black,Verbal Non-Compliance,Central,Tenant Trouble ,ASLT5
15109,Bodily Force,Male,White,Commission of Crime,East Phillips,Motor Vehicle Chase ,FLEE
15110,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON
15111,Chemical Irritant,Male,Unknown,Commission of Crime,Downtown West,Disturbance ,FORCE
15112,Bodily Force,Female,Other / Mixed Race,Tensed,Lyndale,Receive Information ,PRIORI
15113,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Burglary Dwlng In Progress ,FLEEFT
15114,Bodily Force,Male,White,Verbal Non-Compliance,Holland,Theft ,FORCE
15115,Bodily Force,Male,White,Tensed,Steven's Square - Loring Heights,Domestic Abuse-In Progress ,DASLT5
15116,Bodily Force,Male,Other / Mixed Race,Fled in Vehicle,Central,Suspicious Vehicle ,FLEE
15117,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,DASLT5
15118,Bodily Force,Female,White,Assaulted Officer,Wenonah,Domestic Abuse-In Progress ,DASTR
15119,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Assist EMS Personnel ,DISCON
15120,Bodily Force,Male,White,Verbal Non-Compliance,Northeast Park,Unwanted Person ,DISCON
15121,Bodily Force,Male,not recorded,Tensed,Lyndale,Disturbance ,NARC
15122,Bodily Force,Female,White,Assaulted Officer,West Calhoun,Emotionally Disturb Person ,ASLT4
15123,Bodily Force,Male,Native American,Tensed,Seward,Domestic Abuse-In Progress ,911INT
15124,Chemical Irritant,Male,Black,Unspecified,Downtown West,Miscellaneous ,FORCE
15125,Bodily Force,Male,Black,Tensed,Near - North,Fight ,OBSTRU
15126,Bodily Force,Male,Black,Fled on Foot,Jordan,Narcotics ,NARC
15127,Bodily Force,Male,Black,Commission of Crime,Cooper,Domestic Abuse-In Progress ,BURGD
15128,Chemical Irritant,Female,White,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
15129,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,OBSTRU
15130,Bodily Force,Male,White,Tensed,ECCO,Down Outside-One ,WT
15131,Bodily Force,Female,White,Commission of Crime,Downtown West,Fight ,ASLT5
15132,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,ASLT5
15133,Bodily Force,Male,Black,Commission of Crime,Cooper,Domestic Abuse-In Progress ,BURGD
15134,Bodily Force,Female,Native American,Tensed,Downtown West,Suspicious Person ,WT
15135,Chemical Irritant,Female,Native American,Commission of Crime,East Phillips,Fight ,DISCON
15136,Bodily Force,Male,Black,Tensed,Lind - Bohanon,Auto Theft in Progress ,MVTAM
15137,Gun Point Display,Male,Black,Fled on Foot,Ventura Village,Chase on Foot ,POSDPA
15138,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
15139,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4
15140,Bodily Force,Male,Black,Tensed,Cooper,Road Hazard ,DWI
15141,Bodily Force,Male,Black,Commission of Crime,Audubon Park,Fight ,OBSTRU
15142,Bodily Force,Male,White,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT2
15143,Bodily Force,Male,Black,Commission of Crime,Lind - Bohanon,Shooting ,MURDR
15144,Bodily Force,Male,White,Verbal Non-Compliance,Midtown Phillips,Auto Theft in Progress ,DISCON
15145,Taser,Unknown,Unknown,Fled on Foot,Downtown West,Theft ,TFPER
15146,Chemical Irritant,Male,White,Assaulted Officer,Keewaydin,Unknown Trouble ,CIC
15147,Bodily Force,Male,White,Fled on Foot,Ventura Village,Suspicious Vehicle ,POSDPA
15148,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15149,Bodily Force,Male,Other / Mixed Race,Assaulted Officer,Hawthorne,Suspicious Person ,ASLT4
15150,Taser,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15151,Chemical Irritant,Female,Black,Commission of Crime,Near - North,Unknown Trouble ,DISCON
15152,Taser,Male,White,Tensed,Central,Unknown Trouble ,ROBPAG
15153,Bodily Force,Male,Black,Commission of Crime,Marcy Holmes,Loud Party ,ASLT4
15154,Bodily Force,Male,Black,Tensed,Willard - Hay,Disturbance ,OBSTRU
15155,Bodily Force,Male,Black,Commission of Crime,Midtown Phillips,Suspicious Person ,NARC
15156,Bodily Force,Male,Black,Tensed,Jordan,Person with a Gun ,DASLT2
15157,Taser,Male,Black,Verbal Non-Compliance,Near - North,Domestic Abuse-In Progress ,OBSTRU
15158,Bodily Force,Male,not recorded,Tensed,Marshall Terrace,Check the Welfare ,CIC
15159,Police K9 Bite,Male,Black,Verbal Non-Compliance,Folwell,Suspicious Person ,WT
15160,Bodily Force,Male,Black,Commission of Crime,Seward,Fight ,OBSTRU
15161,Taser,Male,White,Fled in Vehicle,Central,Unknown Trouble ,FLEE
15162,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Hale,Burglary Dwlng - Report ,BURGD
15163,Taser,Male,Black,Commission of Crime,Audubon Park,Fight ,OBSTRU
15164,Bodily Force,Male,Other / Mixed Race,Tensed,Lowry Hill,Officer Needs Help ,DISCON
15165,Taser,Male,White,Assaulted Officer,Hawthorne,Disturbance ,OBSTRU
15166,Bodily Force,Male,Black,Tensed,Jordan,Domestic Abuse-In Progress ,OBSTRU
15167,Bodily Force,Female,Black,Assaulted Officer,Downtown West,Suspicious Person ,DISCON
15168,Bodily Force,Male,Black,Fled on Foot,Field,Prowler ,FLEEFT
15169,Taser,Male,White,Tensed,Downtown West,Unwanted Person ,OBSTRU
15170,Bodily Force,Male,Black,Fled on Foot,McKinley,Assist Other Agency ,CSCREG
15171,Chemical Irritant,Male,Unknown,Commission of Crime,Downtown West,Fight ,DISCON
15172,Bodily Force,Female,White,Tensed,Loring Park,Unwanted Person ,OBSTRU
15173,Bodily Force,Male,White,Fled on Foot,Victory,Traffic Law Enforcement ,FLEE
15174,Chemical Irritant,Male,White,Unspecified,Downtown West,Suspicious Person ,FORCE
