,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
166,Bodily Force,Male,Black,Fled in Vehicle,Hawthorne,Motor Vehicle Chase ,FLEE
167,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER
168,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,DISCON
169,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE
170,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH
171,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
172,Taser,Male,Black,Verbal Non-Compliance,Lyndale,Assist an Officer ,OBSTRU
173,Improvised Weapon,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE
174,Bodily Force,Male,Black,Unspecified,Jordan,Attempt Pick-Up ,WT
175,Taser,Male,Black,Fled on Foot,Logan Park,Chase on Foot ,NARC
176,Taser,Male,Native American,Tensed,Lyndale,Fight ,PRIORI
177,Chemical Irritant,Female,Black,Assaulted Officer,Hawthorne,Suspicious Vehicle ,OBSTRU
178,Taser,Male,Native American,Tensed,Lyndale,Fight ,PRIORI
179,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE
180,Bodily Force,Female,Black,Tensed,Lind - Bohanon,Unwanted Person ,DAMPRP
181,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
182,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
183,Bodily Force,Male,Black,Fled on Foot,Downtown West,Fight ,OBSTRU
184,Bodily Force,Male,Native American,Tensed,King Field,Assist EMS Personnel ,CIC
185,Bodily Force,Male,Black,Verbal Non-Compliance,Central,Fight ,OBSTRU
186,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
187,Bodily Force,Female,Black,Assaulted Officer,Audubon Park,Fight ,OBSTRU
188,Bodily Force,Female,Black,Tensed,Bancroft,Burglary Dwlng In Progress ,FORCE
189,Bodily Force,Male,White,Commission of Crime,Downtown West,Code 3 ,MISC
190,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
191,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER
192,Bodily Force,Male,Unknown,Tensed,Near - North,Domestic Abuse-In Progress ,OBSTRU
193,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
194,Bodily Force,Male,Black,Commission of Crime,Near - North,Traffic Law Enforcement ,NARC
195,Taser,Male,Black,Commission of Crime,Downtown West,Assault in Progress ,ASLT5
196,Bodily Force,Male,Black,Commission of Crime,Jordan,Attempt Pick-Up ,WT
197,Taser,Male,White,Commission of Crime,Windom Park,Domestic Abuse-In Progress ,OBSTRU
198,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON
199,Bodily Force,Male,White,Tensed,Standish,Domestic Abuse-In Progress ,DASLT5
200,Bodily Force,Male,White,Commission of Crime,North Loop,Disturbance ,OBSTRU
201,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA
202,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
203,Bodily Force,Male,Black,Tensed,Downtown West,Unwanted Person ,TRSPAS
204,Bodily Force,Male,Black,Commission of Crime,North Loop,Suspicious Person ,DISCON
205,Bodily Force,Male,White,Commission of Crime,Downtown West,Chase on Foot ,FLEEFT
206,Improvised Weapon,Male,Black,Unspecified,Central,Suspicious Vehicle ,RECVEH
207,Taser,Female,Native American,Tensed,Corcoran,Domestic Abuse-In Progress ,DASLT5
208,Taser,Male,White,Tensed,CARAG,Robbery of Person ,ROBPER
209,Bodily Force,Male,White,Tensed,Prospect Park - East River Road,Loud Party ,OBSTRU
210,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB
211,Bodily Force,Female,White,Tensed,Corcoran,Narcotics ,OBSTRU
212,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU
213,Taser,Male,Black,Commission of Crime,Whittier,Fight ,ASLT3
214,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA
215,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE
216,Taser,Male,Black,Assaulted Officer,Hawthorne,Domestic Abuse-In Progress ,ASLT1
217,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
218,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON
219,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
220,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT
221,Taser,Male,Black,Tensed,Nicollet Island - East Bank,Assault in Progress ,ASLT3
222,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
223,Bodily Force,Female,White,Tensed,Lowry Hill East,Domestic Abuse-In Progress ,DASLT5
224,Bodily Force,Male,Black,Fled on Foot,Jordan,Domestic Abuse Report Only ,DASTR
225,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
226,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC
227,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE
