,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
128,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.225106,44.898115
129,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
130,Bodily Force,Male,other,tensed,Domestic,-93.307013,44.98699
131,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.283383,45.004244
132,Less Lethal Weapons,Male,Native American,tensed,Domestic,-93.283381,45.005359
133,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.239479,44.948369
134,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.309598,44.980447
135,Chemical Irritant,Female,White,commission of crime,Domestic,-93.293832,44.948361
136,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.279935,44.996367
137,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273116,44.981648
138,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.268587,44.981232
139,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.279645,44.954638
140,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
141,Less Lethal Weapons,Male,Native American,verbal non-compliance,Violent,-93.232184,44.965296
142,Bodily Force,Male,Black,tensed,Domestic,-93.247231,45.032532
143,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
144,Bodily Force,Female,Native American,tensed,Domestic,-93.246087,44.940432
145,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.28337,44.963217
146,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.279935,44.996367
147,Bodily Force,Male,White,tensed,Property & Vehicle,-93.247356,44.955998
148,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.295639,45.000883
149,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.271289,44.975836
150,Less Lethal Weapons,Male,White,other/unspecified,Violent,-93.288002,45.010125
151,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.271699,45.008036
152,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.279645,44.954638
153,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
154,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.265104,44.96672
155,Bodily Force,Male,Black,tensed,Violent,-93.233389,44.93502
156,Bodily Force,Male,White,fled,Property & Vehicle,-93.265782,44.943185
157,Bodily Force,Male,Black,tensed,Domestic,-93.247231,45.032532
158,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.264618,45.002528
159,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.239479,44.948369
160,Less Lethal Weapons,Female,Black,commission of crime,Violent,-93.281874,44.914179
161,Bodily Force,Male,Black,tensed,Domestic,-93.290726,45.013029
162,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Violent,-93.271963,44.981655
163,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
164,Bodily Force,Male,Black,fled,Property & Vehicle,-93.28799,45.003136
165,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278939,44.97924
166,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299256,44.980557
167,Bodily Force,Male,White,fled,Property & Vehicle,-93.265782,44.943185
168,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.286438,45.010118
169,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
170,Less Lethal Weapons,Male,Black,verbal non-compliance,Welfare & Emergency,-93.277916,44.940441
171,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.279935,44.996367
172,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.303748,45.003397
173,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.256903,45.000899
174,Less Lethal Weapons,Male,Native American,tensed,Violent,-93.284298,44.947481
175,Chemical Irritant,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.2802,44.999677
176,Less Lethal Weapons,Male,Native American,tensed,Violent,-93.284298,44.947481
177,Bodily Force,Male,Black,fled,Property & Vehicle,-93.277025,44.978019
178,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.28886,45.043001
179,Bodily Force,Male,Black,tensed,Domestic,-93.312704,45.015051
180,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
181,Bodily Force,Male,Black,fled,Violent,-93.271963,44.981655
182,Bodily Force,Male,Native American,tensed,Welfare & Emergency,-93.277915,44.936828
183,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.270222,44.942269
184,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
185,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.239684,45.015904
186,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.247341,44.93321
187,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.273141,44.980808
188,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
189,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278939,44.97924
190,Bodily Force,Male,other,tensed,Domestic,-93.307013,44.98699
191,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
192,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.301959,44.990594
193,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.272499,44.979626
194,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.303748,45.003397
195,Less Lethal Weapons,Male,White,commission of crime,Domestic,-93.244693,45.009901
196,Bodily Force,Male,Black,commission of crime,Violent,-93.280839,44.96706
197,Bodily Force,Male,White,tensed,Domestic,-93.227035,44.927785
198,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.278399,44.983815
199,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.296905,44.925909
200,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
201,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.275089,44.973479
202,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.274773,44.982827
203,Bodily Force,Male,White,commission of crime,Property & Vehicle,-93.273141,44.980808
204,Less Lethal Weapons,Male,Black,other/unspecified,Suspicious & Disorder,-93.274109,44.945482
205,Less Lethal Weapons,Female,Native American,tensed,Domestic,-93.246087,44.940432
206,Less Lethal Weapons,Male,White,tensed,Violent,-93.291281,44.948361
207,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.222832,44.969758
208,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.271289,44.975836
