,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
17877,Bodily Force,Female,other,tensed,Violent,-93.300644,45.0177
17878,Less Lethal Weapons,Male,Black,tensed,Property & Vehicle,-93.297004,44.948812
17879,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278197,44.976944
17880,Bodily Force,Male,White,tensed,Domestic,-93.23218,45.014358
17881,Less Lethal Weapons,Male,White,tensed,Welfare & Emergency,-93.304656,45.000246
17882,Bodily Force,Female,Black,assaulting police officer or animal,Property & Vehicle,-93.289522,44.999687
17883,Chemical Irritant,Female,Black,commission of crime,Violent,-93.271883,44.980065
17884,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.291052,45.005931
17885,Less Lethal Weapons,Male,Black,fled,Violent,-93.308219,45.008729
17886,Bodily Force,Female,White,assaulting police officer or animal,Domestic,-93.22725,44.901156
17887,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.26252,44.926038
17888,Bodily Force,Male,Black,other/unspecified,Domestic,-93.270202,44.970316
17889,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.27196,44.980833
17890,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273116,44.981648
17891,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.258198,44.961368
17892,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.269013,44.982137
17893,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.252336,44.960476
17894,Bodily Force,Male,Native American,other/unspecified,Domestic,-93.288026,45.015799
17895,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.273116,44.981648
17896,Bodily Force,Male,Black,commission of crime,Violent,-93.273107,44.982462
17897,Chemical Irritant,Female,Native American,verbal non-compliance,Violent,-93.293351,44.999153
17899,Bodily Force,Male,White,tensed,Violent,-93.248581,44.962516
17900,Chemical Irritant,Male,White,commission of crime,Violent,-93.272499,44.979626
17901,Bodily Force,Male,Black,tensed,Domestic,-93.294494,45.030545
17902,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.288659,44.959124
17903,Bodily Force,Male,Black,fled,Property & Vehicle,-93.290564,45.02123
17904,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.296221,45.016752
17905,Less Lethal Weapons,Male,White,commission of crime,Welfare & Emergency,-93.305088,44.991503
17906,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.305088,44.991503
17907,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.274284,44.979986
17908,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.307607,45.01325
17909,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.23199,45.02317
17910,Less Lethal Weapons,Male,Black,commission of crime,Welfare & Emergency,-93.305088,44.991503
17911,Bodily Force,Male,Black,commission of crime,Domestic,-93.300777,44.979043
17912,Bodily Force,Male,Black,fled,Violent,-93.248594,44.958237
17913,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.27023,44.979295
17914,Bodily Force,Male,Black,fled,Violent,-93.278197,44.976944
17915,Bodily Force,Male,other,tensed,Suspicious & Disorder,-93.262552,44.966723
17916,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.278093,44.904565
17917,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.263196,44.939561
17918,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273422,44.975433
17919,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273116,44.981648
17920,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273116,44.981648
17921,Bodily Force,Male,White,fled,Property & Vehicle,-93.255022,44.951006
17922,Bodily Force,Male,White,fled,Property & Vehicle,-93.289916,45.01492
17923,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.30287,44.943143
17924,Chemical Irritant,Male,White,commission of crime,Violent,-93.297004,44.948812
17925,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.274284,44.979986
17926,Bodily Force,Male,Black,tensed,Domestic,-93.298099,45.006871
17927,Bodily Force,Male,Black,tensed,Domestic,-93.305717,45.015933
17928,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.247247,45.030322
17929,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.273109,44.979187
17930,Bodily Force,Male,Black,tensed,Violent,-93.273109,44.979187
17931,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.27996,44.974295
17933,Chemical Irritant,Male,White,tensed,Domestic,-93.23218,45.014358
17934,Less Lethal Weapons,Male,White,fled,Property & Vehicle,-93.258198,44.961368
17935,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.304656,45.000246
17936,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.28936,44.96327
17937,Bodily Force,Female,Black,assaulting police officer or animal,Property & Vehicle,-93.289522,44.999687
17938,Bodily Force,Male,Black,fled,Violent,-93.271883,44.980065
17939,Bodily Force,Male,other,tensed,Domestic,-93.259947,44.978304
17940,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.27196,44.980833
17941,Guns,Female,White,tensed,Property & Vehicle,-93.230376,44.985969
17942,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.233005,44.961608
17943,Bodily Force,Male,Black,tensed,Violent,-93.286532,45.023023
17944,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.277025,44.978019
17945,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.278093,44.904565
17946,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.307861,45.036071
17947,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.274296,44.980781
17948,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298274,44.949609
17949,Bodily Force,Male,Black,commission of crime,Domestic,-93.309492,44.999683
17950,Less Lethal Weapons,Male,Native American,assaulting police officer or animal,Welfare & Emergency,-93.294328,45.017644
17951,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.222197,44.987882
17952,Bodily Force,Male,Black,commission of crime,Domestic,-93.276601,44.952838
17953,Chemical Irritant,Male,Black,tensed,Violent,-93.288174,45.038525
17954,Bodily Force,Female,White,tensed,Domestic,-93.2937,45.014936
17955,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273141,44.980808
17956,Bodily Force,Female,Black,commission of crime,Domestic,-93.266303,44.926041
17957,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.300805,44.949978
17958,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.294112,44.996865
17959,Less Lethal Weapons,Female,Native American,fled,Suspicious & Disorder,-93.275978,44.951945
17960,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.280267,44.978122
17961,Bodily Force,Male,Black,other/unspecified,Violent,-93.261929,44.939559
17962,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.24737,45.008406
17963,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.278197,44.976944
17964,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.277303,44.948356
17965,Chemical Irritant,Male,Black,commission of crime,Violent,-93.272499,44.979626
17966,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.27196,44.980833
17967,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.274284,44.979986
17968,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278197,44.976944
17969,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.275347,44.977582
17970,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.300071,44.991498
17971,Bodily Force,Male,other,tensed,Violent,-93.301278,45.016799
17972,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273141,44.980808
17973,Less Lethal Weapons,Male,Black,other/unspecified,Violent,-93.292022,45.036686
17974,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.294235,44.959122
17975,Guns,Female,other,commission of crime,Suspicious & Disorder,-93.277916,44.940441
17976,Bodily Force,Male,other,other/unspecified,Violent,-93.274284,44.979986
17977,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.288174,45.038525
17978,Bodily Force,Male,Black,tensed,Violent,-93.301979,44.983363
17979,Bodily Force,Female,White,tensed,Domestic,-93.283393,45.00203
17980,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.27412,44.946331
17981,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.271883,44.980065
17982,Chemical Irritant,Male,Black,tensed,Welfare & Emergency,-93.272499,44.979626
17983,Bodily Force,Female,White,tensed,Property & Vehicle,-93.230376,44.985969
17984,Bodily Force,Male,Black,commission of crime,Domestic,-93.268532,44.971399
17985,Bodily Force,Male,Black,tensed,Violent,-93.275347,44.977582
17986,Bodily Force,Male,Black,commission of crime,Violent,-93.290553,45.017614
17988,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.273116,44.981648
17989,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.278819,44.978407
17990,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.254549,44.988101
17991,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.271883,44.980065
17993,Bodily Force,Male,Black,other/unspecified,Domestic,-93.26584,44.97352
17994,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.276605,44.951377
17995,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.257126,44.971782
17996,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.228692,44.973099
17997,Bodily Force,Female,White,assaulting police officer or animal,Suspicious & Disorder,-93.298274,44.949609
17998,Bodily Force,Female,other,assaulting police officer or animal,Suspicious & Disorder,-93.254971,44.956441
17999,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.300624,45.006886
18000,Chemical Irritant,Female,White,verbal non-compliance,Violent,-93.274296,44.980781
18001,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.263088,45.000357
18002,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.293832,44.948361
18003,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.293351,44.999153
18004,Chemical Irritant,Female,White,tensed,Suspicious & Disorder,-93.271883,44.980065
18005,Bodily Force,Female,White,assaulting police officer or animal,Welfare & Emergency,-93.252426,44.994219
18006,Chemical Irritant,Male,Black,commission of crime,Violent,-93.274284,44.979986
18007,Bodily Force,Female,Black,commission of crime,Violent,-93.301911,45.014106
18008,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.275396,44.980804
18009,Bodily Force,Male,Native American,tensed,Property & Vehicle,-93.304206,44.894304
18010,Bodily Force,Female,Black,fled,Suspicious & Disorder,-93.278808,44.948347
18011,Bodily Force,Male,Native American,fled,Property & Vehicle,-93.251747,44.959133
18012,Chemical Irritant,Male,other,commission of crime,Violent,-93.272499,44.979626
18013,Chemical Irritant,Male,White,commission of crime,Violent,-93.272499,44.979626
18014,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273516,44.97744
18015,Bodily Force,Male,White,fled,Violent,-93.291816,44.999148
18016,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.299442,44.992282
18017,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.23678,44.981536
18018,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.278093,44.904565
18019,Bodily Force,Female,Black,tensed,Violent,-93.271487,44.965512
18020,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.300646,45.014097
18021,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.289832,44.980229
18022,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.315897,45.005133
18023,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.306062,44.980743
18024,Bodily Force,Male,Native American,assaulting police officer or animal,Welfare & Emergency,-93.294328,45.017644
18025,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.272499,44.979626
18026,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.234009,44.980431
18027,Chemical Irritant,Male,Black,other/unspecified,Violent,-93.273109,44.979187
18028,Bodily Force,Male,other,tensed,Property & Vehicle,-93.310287,45.025902
18029,Chemical Irritant,Male,other,commission of crime,Violent,-93.27196,44.980833
18030,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.288259,44.931345
18031,Bodily Force,Male,Native American,tensed,Domestic,-93.308265,45.01956
18032,Less Lethal Weapons,Male,other,tensed,Suspicious & Disorder,-93.300646,45.015898
18033,Chemical Irritant,Female,Black,commission of crime,Violent,-93.284117,44.999129
18034,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.248608,44.933203
18035,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.31572,44.962714
18036,Bodily Force,Female,Black,fled,Suspicious & Disorder,-93.280023,44.976463
18037,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.298274,44.949609
18038,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.29875,45.013176
18039,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.274567,44.97529
18040,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.31572,44.962714
18041,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.273141,44.980808
18042,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.29584,44.956807
18043,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278197,44.976944
18044,Bodily Force,Male,Black,tensed,Domestic,-93.289265,45.010418
18045,Less Lethal Weapons,Female,Black,tensed,Violent,-93.302545,45.013208
18046,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.29843,44.951995
18047,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.272499,44.979626
18048,Chemical Irritant,Male,White,other/unspecified,Suspicious & Disorder,-93.271963,44.981655
18049,Bodily Force,Male,Black,fled,Property & Vehicle,-93.29748,45.016767
18050,Bodily Force,Male,White,fled,Property & Vehicle,-93.276033,44.948353
18051,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.274247,44.981638
18052,Chemical Irritant,Female,Black,commission of crime,Welfare & Emergency,-93.284446,45.00024
18053,Chemical Irritant,Male,Black,verbal non-compliance,Welfare & Emergency,-93.274773,44.982827
18054,Bodily Force,Male,Native American,commission of crime,Welfare & Emergency,-93.251777,44.957333
18055,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.306062,44.980743
18056,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.247317,44.924227
18057,Bodily Force,Male,Black,commission of crime,Violent,-93.277025,44.978019
18058,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.226948,44.898113
18059,Bodily Force,Male,Black,fled,Violent,-93.309498,44.994233
18060,Less Lethal Weapons,Male,Black,other/unspecified,Violent,-93.224683,44.935745
18061,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.30258,44.991498
18062,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.276431,44.976808
18063,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.300805,44.949978
18064,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.272499,44.979626
18065,Chemical Irritant,Male,Black,verbal non-compliance,Welfare & Emergency,-93.298108,45.009574
18066,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
18067,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273109,44.979187
18068,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.276431,44.976808
18069,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.291816,44.999148
18070,Less Lethal Weapons,Male,White,fled,Welfare & Emergency,-93.275314,44.937679
18071,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271883,44.980065
18072,Bodily Force,Female,Black,commission of crime,Violent,-93.212729,44.942385
18073,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.293832,44.948361
18074,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.277303,44.948356
18075,Less Lethal Weapons,Female,Native American,commission of crime,Suspicious & Disorder,-93.300805,44.949978
18076,Bodily Force,Male,Black,commission of crime,Violent,-93.238443,44.946553
18078,Bodily Force,Male,Black,other/unspecified,Violent,-93.292022,45.036686
18079,Bodily Force,Male,other,verbal non-compliance,Suspicious & Disorder,-93.259677,44.968423
18080,Less Lethal Weapons,Male,Black,fled,Violent,-93.300611,44.999535
18081,Chemical Irritant,Male,White,commission of crime,Violent,-93.273141,44.980808
18082,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.30258,44.991498
18083,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.287984,44.997706
18084,Chemical Irritant,Female,Black,commission of crime,Violent,-93.271883,44.980065
18085,Bodily Force,Female,Black,verbal non-compliance,Welfare & Emergency,-93.277816,44.969381
18086,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.307583,45.007822
18087,Bodily Force,Female,Black,tensed,Violent,-93.272499,44.979626
18088,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.271954,44.982469
18089,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
18090,Bodily Force,Male,Black,commission of crime,Domestic,-93.268532,44.971399
18091,Bodily Force,Female,Black,tensed,Violent,-93.299328,44.999156
18092,Bodily Force,Female,Black,commission of crime,Welfare & Emergency,-93.258601,44.977723
18093,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.274296,44.980781
18094,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.253096,44.953739
18095,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.27023,44.979295
18096,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.271883,44.980065
18097,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.297172,44.99578
18099,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.308208,45.005572
18100,Bodily Force,Male,White,fled,Property & Vehicle,-93.295637,44.999709
18101,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.278197,44.976944
18102,Bodily Force,Female,other,other/unspecified,Welfare & Emergency,-93.292716,45.03936
18103,Bodily Force,Female,other,assaulting police officer or animal,Suspicious & Disorder,-93.254971,44.956441
18104,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.300624,45.006886
18105,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.27933,44.967045
18106,Chemical Irritant,Male,other,fled,Property & Vehicle,-93.298274,44.949609
18107,Bodily Force,Male,White,fled,Welfare & Emergency,-93.292906,44.960917
18108,Bodily Force,Male,other,commission of crime,Domestic,-93.244852,44.957217
18109,Chemical Irritant,Female,Black,tensed,Suspicious & Disorder,-93.271883,44.980065
18110,Bodily Force,Male,Black,fled,Property & Vehicle,-93.286823,44.999135
18111,Chemical Irritant,Male,Black,commission of crime,Violent,-93.274284,44.979986
18112,Bodily Force,Male,White,fled,Property & Vehicle,-93.223694,44.926919
18113,Bodily Force,Female,Black,commission of crime,Violent,-93.301911,45.014106
18114,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.275396,44.980804
18115,Bodily Force,Male,other,verbal non-compliance,Suspicious & Disorder,-93.263866,44.942277
18116,Bodily Force,Male,Black,fled,Violent,-93.308265,45.01956
18117,Bodily Force,Male,White,tensed,Domestic,-93.237514,44.986351
18118,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.238533,44.963971
18119,Chemical Irritant,Female,Black,tensed,Property & Vehicle,-93.247366,45.006421
18120,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.27023,44.979295
18121,Bodily Force,Male,Black,fled,Violent,-93.278197,44.976944
18122,Chemical Irritant,Male,Black,commission of crime,Violent,-93.272499,44.979626
18123,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.278093,44.904565
18124,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.307861,45.036071
18125,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273422,44.975433
18126,Less Lethal Weapons,Male,other,verbal non-compliance,Welfare & Emergency,-93.285504,44.956432
18127,Bodily Force,Male,Black,fled,Property & Vehicle,-93.252345,44.959577
18128,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Domestic,-93.315897,45.005133
18129,Bodily Force,Male,Native American,tensed,Violent,-93.254209,44.950319
18130,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273116,44.981648
18131,Bodily Force,Female,Black,tensed,Domestic,-93.276601,44.952838
18132,Bodily Force,Unknown,other,tensed,Welfare & Emergency,-93.259175,44.972653
18133,Less Lethal Weapons,Male,Black,fled,Violent,-93.300611,44.999535
18134,Less Lethal Weapons,Male,other,tensed,Property & Vehicle,-93.310287,45.025902
18135,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
18136,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.271797,44.977367
18137,Guns,Male,Black,fled,Property & Vehicle,-93.303157,45.006897
18138,Bodily Force,Male,other,tensed,Domestic,-93.26312,44.972368
18139,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.248608,44.933203
18140,Chemical Irritant,Unknown,other,commission of crime,Violent,-93.246091,44.954646
18141,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.31572,44.962714
18142,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.274284,44.979986
18143,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.298274,44.949609
18144,Bodily Force,Male,Black,tensed,Violent,-93.276738,44.971539
18145,Bodily Force,Male,other,tensed,Suspicious & Disorder,-93.300646,45.015898
18146,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
18147,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.273141,44.980808
18148,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
18149,Bodily Force,Male,Black,tensed,Domestic,-93.289265,45.010418
18150,Chemical Irritant,Female,Black,commission of crime,Violent,-93.274284,44.979986
18151,Bodily Force,Female,Black,tensed,Violent,-93.302545,45.013208
18152,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.228638,44.934124
18153,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.230646,44.977798
18154,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.314617,45.010538
18155,Chemical Irritant,Male,other,other/unspecified,Suspicious & Disorder,-93.273141,44.980808
18156,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.274247,44.981638
18157,Less Lethal Weapons,Male,Native American,fled,Property & Vehicle,-93.250495,44.959134
18158,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.303236,44.985502
18159,Bodily Force,Female,Black,fled,Suspicious & Disorder,-93.293832,44.948361
18160,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.304455,44.99361
18161,Bodily Force,Male,Black,fled,Violent,-93.294494,45.030545
18162,Bodily Force,Female,White,tensed,Welfare & Emergency,-93.26255,44.938659
18163,Chemical Irritant,Female,other,commission of crime,Violent,-93.273107,44.982462
18164,Chemical Irritant,Female,other,verbal non-compliance,Suspicious & Disorder,-93.271883,44.980065
18165,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.265698,44.937767
18166,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.250584,44.950067
18167,Chemical Irritant,Female,Black,commission of crime,Violent,-93.284117,44.999129
18168,Bodily Force,Male,other,other/unspecified,Suspicious & Disorder,-93.267581,44.93687
18169,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.286462,45.005355
18170,Bodily Force,Female,Black,other/unspecified,Suspicious & Disorder,-93.272499,44.979626
18171,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.293351,44.999153
18172,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.277816,44.967891
18173,Bodily Force,Female,White,tensed,Violent,-93.278819,44.978407
18174,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.296528,44.955913
18175,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.275396,44.980804
18176,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.287375,44.966905
18177,Bodily Force,Female,White,tensed,Domestic,-93.233627,44.900785
18178,Bodily Force,Female,Native American,tensed,Welfare & Emergency,-93.289364,44.949203
18179,Chemical Irritant,Male,Black,tensed,Violent,-93.247803,44.995096
18180,Chemical Irritant,Male,White,tensed,Suspicious & Disorder,-93.247368,45.007414
18181,Chemical Irritant,Male,Black,commission of crime,Welfare & Emergency,-93.272499,44.979626
18182,Bodily Force,Male,Native American,verbal non-compliance,Welfare & Emergency,-93.277851,44.958236
18183,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.325057,44.945994
18184,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.258187,44.964541
18185,Chemical Irritant,Unknown,other,commission of crime,Violent,-93.273141,44.980808
18186,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.301256,45.005987
18187,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.293226,45.032503
18188,Bodily Force,Male,White,tensed,Property & Vehicle,-93.235388,44.980982
18189,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.266366,44.922427
18190,Less Lethal Weapons,Male,White,assaulting police officer or animal,Domestic,-93.308265,45.01956
18191,Bodily Force,Female,Black,commission of crime,Domestic,-93.306742,45.044841
18192,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.278819,44.978407
18193,Bodily Force,Male,Black,tensed,Domestic,-93.283417,45.001485
18194,Bodily Force,Male,Black,fled,Property & Vehicle,-93.271927,44.98329
18195,Chemical Irritant,Female,other,commission of crime,Suspicious & Disorder,-93.233184,44.947791
18196,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.270462,44.973518
18197,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.224185,44.898706
18199,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.308259,45.017756
18200,Less Lethal Weapons,Male,Black,tensed,Violent,-93.302146,45.033363
18201,Chemical Irritant,Male,Native American,verbal non-compliance,Domestic,-93.289522,44.999687
18202,Chemical Irritant,Male,White,commission of crime,Violent,-93.274284,44.979986
18203,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
18204,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
18205,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298274,44.949609
18206,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.270849,44.960901
18207,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.315897,45.005133
18208,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.306062,44.980743
18209,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.247317,44.924227
18210,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273116,44.981648
18211,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.222197,44.987882
18212,Bodily Force,Male,Black,fled,Domestic,-93.29687,44.98157
18213,Bodily Force,Male,Black,tensed,Domestic,-93.30443,44.999439
18214,Bodily Force,Male,Native American,tensed,Domestic,-93.244852,44.957217
18215,Chemical Irritant,Male,Black,commission of crime,Welfare & Emergency,-93.298198,44.98262
18216,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
18218,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.273109,44.979187
18219,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.284618,44.999132
18220,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.272104,44.97487
18221,Bodily Force,Male,Native American,commission of crime,Suspicious & Disorder,-93.261097,44.961364
18222,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.289519,45.004247
