,ForceType,Sex,Race,TypeOfResistance
5099,Bodily Force,Male,White,commission of crime
5100,Less Lethal Weapons,Male,Black,commission of crime
5101,Bodily Force,Male,Black,tensed
5102,Bodily Force,Male,Black,fled
5103,Bodily Force,Male,Black,other/unspecified
5104,Bodily Force,Male,White,tensed
5105,Bodily Force,Female,Black,assaulting police officer or animal
5106,Bodily Force,Male,White,tensed
5107,Bodily Force,Male,Black,fled
5108,Bodily Force,Male,Black,fled
5109,Bodily Force,Male,Black,other/unspecified
5110,Bodily Force,Female,Black,tensed
5111,Chemical Irritant,Male,Black,fled
5112,Chemical Irritant,Male,White,verbal non-compliance
5113,Chemical Irritant,Male,White,verbal non-compliance
5114,Bodily Force,Male,Black,commission of crime
5115,Less Lethal Weapons,Male,Black,assaulting police officer or animal
5116,Bodily Force,Male,White,tensed
5117,Bodily Force,Male,Black,fled
5118,Less Lethal Weapons,Male,White,commission of crime
5119,Bodily Force,Male,other,tensed
5120,Less Lethal Weapons,Male,Black,other/unspecified
5121,Bodily Force,Male,Black,tensed
5122,Less Lethal Weapons,Male,White,assaulting police officer or animal
5123,Bodily Force,Male,Native American,tensed
5124,Less Lethal Weapons,Male,Black,commission of crime
5125,Bodily Force,Male,Black,commission of crime
5126,Bodily Force,Male,Black,commission of crime
5127,Less Lethal Weapons,Male,Black,tensed
5128,Bodily Force,Female,Black,commission of crime
5129,Bodily Force,Male,Black,tensed
5130,Bodily Force,Female,Black,commission of crime
5131,Bodily Force,Male,Black,other/unspecified
5132,Bodily Force,Male,other,commission of crime
5133,Bodily Force,Male,Black,fled
5134,Less Lethal Weapons,Male,Black,assaulting police officer or animal
5135,Chemical Irritant,Male,White,verbal non-compliance
5136,Chemical Irritant,Male,Black,tensed
5137,Bodily Force,Male,White,commission of crime
5138,Bodily Force,Male,Black,tensed
5139,Bodily Force,Male,White,fled
5140,Bodily Force,Male,White,commission of crime
5141,Bodily Force,Male,White,assaulting police officer or animal
5142,Bodily Force,Male,White,tensed
5143,Bodily Force,Male,Native American,tensed
5144,Bodily Force,Male,White,tensed
5145,Bodily Force,Female,White,assaulting police officer or animal
5146,Bodily Force,Male,White,commission of crime
5147,Bodily Force,Male,Black,verbal non-compliance
5148,Bodily Force,Male,Black,assaulting police officer or animal
5149,Bodily Force,Female,White,verbal non-compliance
5150,Bodily Force,Female,White,tensed
5151,Bodily Force,Male,Black,other/unspecified
5152,Less Lethal Weapons,Male,Black,fled
5153,Bodily Force,Male,White,tensed
5154,Less Lethal Weapons,Male,Black,fled
5155,Bodily Force,Male,Black,fled
5156,Bodily Force,Male,Black,tensed
5157,Less Lethal Weapons,Male,White,commission of crime
5158,Bodily Force,Male,Black,tensed
5159,Bodily Force,Female,Native American,tensed
5160,Less Lethal Weapons,Male,Black,assaulting police officer or animal
5161,Bodily Force,Male,Native American,tensed
5162,Bodily Force,Male,Native American,fled
5163,Bodily Force,Male,Black,fled
5164,Bodily Force,Male,Black,verbal non-compliance
5165,Bodily Force,Male,Black,tensed
5166,Bodily Force,Female,Black,verbal non-compliance
5167,Bodily Force,Male,Black,tensed
5168,Bodily Force,Male,Black,assaulting police officer or animal
5169,Bodily Force,Male,Black,tensed
5170,Bodily Force,Male,Black,other/unspecified
5171,Bodily Force,Male,Native American,fled
5172,Bodily Force,Male,Black,assaulting police officer or animal
5173,Bodily Force,Male,Native American,commission of crime
5174,Bodily Force,Male,White,tensed
5175,Less Lethal Weapons,Male,White,assaulting police officer or animal
5176,Bodily Force,Male,Black,commission of crime
5177,Bodily Force,Male,Black,tensed
5178,Bodily Force,Female,Black,assaulting police officer or animal
5179,Bodily Force,Female,other,assaulting police officer or animal
5180,Chemical Irritant,Male,Black,fled
5181,Bodily Force,Male,Black,commission of crime
5182,Bodily Force,Female,other,tensed
5183,Bodily Force,Male,Black,commission of crime
5184,Bodily Force,Male,Black,fled
5185,Less Lethal Weapons,Male,Black,other/unspecified
5186,Bodily Force,Male,Black,fled
5187,Bodily Force,Male,Black,fled
5188,Chemical Irritant,Male,Black,other/unspecified
5189,Bodily Force,Male,Black,tensed
5190,Bodily Force,Male,Black,fled
5191,Bodily Force,Male,other,tensed
5192,Chemical Irritant,Female,Black,commission of crime
5193,Bodily Force,Male,White,tensed
5194,Bodily Force,Male,Black,fled
5195,Bodily Force,Male,Black,fled
5196,Chemical Irritant,Female,Black,commission of crime
5197,Bodily Force,Male,Native American,tensed
5198,Less Lethal Weapons,Male,Black,verbal non-compliance
5199,Bodily Force,Male,Black,tensed
5200,Chemical Irritant,Male,Black,tensed
5201,Chemical Irritant,Female,Native American,commission of crime
5202,Bodily Force,Female,Black,fled
5203,Bodily Force,Male,Black,other/unspecified
5204,Less Lethal Weapons,Male,Black,commission of crime
5205,Bodily Force,Male,Black,tensed
5206,Less Lethal Weapons,Male,Black,tensed
5207,Bodily Force,Male,Black,verbal non-compliance
5208,Bodily Force,Male,Black,verbal non-compliance
5209,Chemical Irritant,Male,White,commission of crime
5210,Bodily Force,Male,Black,tensed
5211,Bodily Force,Male,Black,commission of crime
5212,Chemical Irritant,Male,Black,commission of crime
5213,Bodily Force,Female,Black,assaulting police officer or animal
5214,Bodily Force,Male,Black,other/unspecified
5215,Chemical Irritant,Male,Black,tensed
5216,Bodily Force,Male,Black,tensed
5217,Chemical Irritant,Male,Black,other/unspecified
5218,Bodily Force,Male,White,tensed
5219,Bodily Force,Male,Black,commission of crime
5220,Less Lethal Weapons,Male,Black,fled
5221,Less Lethal Weapons,Male,Black,tensed
5222,Bodily Force,Male,White,tensed
5223,Less Lethal Weapons,Male,Black,tensed
5224,Bodily Force,Male,Native American,fled
5225,Bodily Force,Male,Native American,tensed
5226,Bodily Force,Male,Black,other/unspecified
5227,Bodily Force,Male,White,tensed
5228,Bodily Force,Male,Black,other/unspecified
5229,Bodily Force,Male,White,commission of crime
5230,Bodily Force,Male,other,verbal non-compliance
5231,Bodily Force,Female,Black,verbal non-compliance
5232,Bodily Force,Male,White,commission of crime
5233,Bodily Force,Male,Black,fled
5234,Less Lethal Weapons,Male,Black,fled
5235,Bodily Force,Male,Black,verbal non-compliance
5236,Bodily Force,Male,White,commission of crime
5237,Bodily Force,Male,Black,commission of crime
5238,Chemical Irritant,Male,Black,tensed
5239,Chemical Irritant,Male,White,verbal non-compliance
5240,Bodily Force,Male,Native American,commission of crime
5241,Bodily Force,Male,Black,commission of crime
5242,Bodily Force,Male,Black,commission of crime
5243,Bodily Force,Male,other,assaulting police officer or animal
5244,Chemical Irritant,Male,White,tensed
5245,Bodily Force,Female,Native American,tensed
5246,Bodily Force,Male,Black,other/unspecified
5247,Bodily Force,Male,Black,fled
5248,Chemical Irritant,Male,White,verbal non-compliance
5249,Chemical Irritant,Male,Black,commission of crime
5250,Bodily Force,Male,Black,verbal non-compliance
5251,Chemical Irritant,Female,Black,verbal non-compliance
5252,Bodily Force,Male,Native American,tensed
5253,Chemical Irritant,Male,other,commission of crime
5254,Bodily Force,Male,Native American,assaulting police officer or animal
5255,Bodily Force,Male,Black,tensed
5256,Bodily Force,Male,Black,verbal non-compliance
5257,Chemical Irritant,Male,Black,verbal non-compliance
5258,Bodily Force,Male,White,verbal non-compliance
5259,Bodily Force,Male,White,assaulting police officer or animal
5260,Bodily Force,Male,Black,fled
5261,Bodily Force,Male,Black,tensed
5262,Bodily Force,Male,White,tensed
5263,Bodily Force,Female,Native American,tensed
5264,Bodily Force,Male,Black,tensed
5265,Bodily Force,Male,Black,commission of crime
5266,Chemical Irritant,Male,Black,tensed
5267,Bodily Force,Male,Native American,fled
5268,Less Lethal Weapons,Male,Black,commission of crime
5269,Bodily Force,Male,Black,assaulting police officer or animal
5270,Bodily Force,Male,Black,fled
5271,Bodily Force,Female,Black,assaulting police officer or animal
5272,Bodily Force,Male,White,fled
5273,Bodily Force,Male,Black,tensed
5274,Bodily Force,Male,Black,tensed
5275,Bodily Force,Male,Black,fled
5276,Chemical Irritant,Female,Black,other/unspecified
5277,Bodily Force,Male,Black,commission of crime
5278,Less Lethal Weapons,Male,Native American,fled
5279,Bodily Force,Male,Black,other/unspecified
5280,Bodily Force,Male,Black,fled
5281,Bodily Force,Male,other,fled
5282,Bodily Force,Male,Black,tensed
5283,Bodily Force,Male,Black,assaulting police officer or animal
5284,Bodily Force,Male,Native American,fled
5285,Bodily Force,Female,White,tensed
5286,Bodily Force,Male,Black,tensed
5287,Chemical Irritant,Male,Black,commission of crime
5288,Chemical Irritant,Male,Black,verbal non-compliance
5289,Bodily Force,Male,White,fled
5290,Chemical Irritant,Female,Native American,commission of crime
5291,Bodily Force,Male,Black,fled
5292,Bodily Force,Male,other,fled
5293,Bodily Force,Male,Native American,tensed
5294,Less Lethal Weapons,Male,Black,commission of crime
5295,Bodily Force,Female,Black,commission of crime
5296,Bodily Force,Male,White,assaulting police officer or animal
5297,Bodily Force,Male,Native American,verbal non-compliance
5298,Bodily Force,Male,White,tensed
5299,Chemical Irritant,Male,Black,fled
5300,Bodily Force,Male,Native American,fled
5301,Bodily Force,Male,Black,fled
5302,Bodily Force,Male,White,commission of crime
5303,Bodily Force,Female,Black,commission of crime
5304,Bodily Force,Male,Black,fled
5305,Bodily Force,Male,Black,tensed
5306,Bodily Force,Male,Black,tensed
5307,Bodily Force,Male,White,tensed
5308,Bodily Force,Male,White,fled
5309,Bodily Force,Male,Black,verbal non-compliance
5310,Bodily Force,Male,Black,assaulting police officer or animal
5311,Bodily Force,Male,White,verbal non-compliance
5312,Bodily Force,Male,Black,fled
5313,Less Lethal Weapons,Male,Black,commission of crime
5314,Bodily Force,Female,Black,other/unspecified
5315,Bodily Force,Male,White,tensed
5316,Bodily Force,Male,Black,tensed
5317,Bodily Force,Male,White,tensed
5318,Bodily Force,Male,Black,fled
5319,Bodily Force,Female,Native American,tensed
5320,Bodily Force,Male,Black,tensed
5321,Bodily Force,Male,White,commission of crime
5322,Bodily Force,Male,White,verbal non-compliance
5323,Bodily Force,Male,Black,commission of crime
5324,Bodily Force,Male,White,tensed
5325,Bodily Force,Male,Black,commission of crime
5326,Bodily Force,Male,Black,verbal non-compliance
5327,Chemical Irritant,Female,Black,commission of crime
5328,Bodily Force,Male,Black,commission of crime
5329,Bodily Force,Male,Black,commission of crime
5330,Less Lethal Weapons,Male,Native American,commission of crime
5331,Bodily Force,Male,Black,commission of crime
5332,Bodily Force,Male,White,other/unspecified
5333,Bodily Force,Male,White,tensed
5334,Bodily Force,Male,Black,other/unspecified
5335,Bodily Force,Male,Black,verbal non-compliance
5336,Bodily Force,Male,Black,fled
5337,Bodily Force,Male,White,fled
5338,Bodily Force,Male,White,tensed
5339,Chemical Irritant,Male,Black,commission of crime
5340,Bodily Force,Male,Black,verbal non-compliance
5341,Bodily Force,Male,White,tensed
5342,Bodily Force,Male,White,other/unspecified
5343,Bodily Force,Female,Native American,tensed
5344,Bodily Force,Male,Black,verbal non-compliance
5345,Chemical Irritant,Male,White,verbal non-compliance
5346,Bodily Force,Male,Black,commission of crime
5347,Bodily Force,Male,Black,fled
5348,Less Lethal Weapons,Male,White,fled
5349,Bodily Force,Female,Black,commission of crime
5350,Bodily Force,Male,White,commission of crime
5351,Chemical Irritant,Male,White,commission of crime
5352,Bodily Force,Male,other,tensed
5353,Bodily Force,Male,Black,fled
5354,Bodily Force,Male,Black,fled
5355,Bodily Force,Male,Black,tensed
5356,Bodily Force,Male,White,tensed
5357,Chemical Irritant,Female,Black,verbal non-compliance
5358,Chemical Irritant,Female,White,verbal non-compliance
5359,Bodily Force,Male,Black,tensed
5360,Less Lethal Weapons,Male,Black,verbal non-compliance
5361,Bodily Force,Male,Black,tensed
5362,Chemical Irritant,Male,Black,verbal non-compliance
5363,Bodily Force,Male,Black,tensed
5364,Bodily Force,Male,Black,commission of crime
5365,Bodily Force,Male,White,assaulting police officer or animal
5366,Bodily Force,Male,Black,verbal non-compliance
5367,Bodily Force,Male,Black,assaulting police officer or animal
5368,Bodily Force,Male,Black,other/unspecified
5369,Bodily Force,Male,Black,tensed
5370,Bodily Force,Male,White,tensed
5371,Less Lethal Weapons,Male,White,fled
5372,Bodily Force,Male,Black,fled
5373,Chemical Irritant,Male,White,tensed
5374,Chemical Irritant,Female,Black,verbal non-compliance
5375,Bodily Force,Male,Black,assaulting police officer or animal
5376,Bodily Force,Male,other,assaulting police officer or animal
5377,Bodily Force,Female,Native American,tensed
5378,Bodily Force,Male,Black,verbal non-compliance
5379,Less Lethal Weapons,Male,Black,tensed
5380,Less Lethal Weapons,Male,White,fled
5381,Bodily Force,Male,Black,commission of crime
5382,Bodily Force,Male,Black,commission of crime
5383,Less Lethal Weapons,Male,Black,tensed
5384,Bodily Force,Male,White,tensed
5385,Bodily Force,Male,Black,commission of crime
5386,Bodily Force,Male,Black,fled
5387,Bodily Force,Male,Black,fled
5388,Bodily Force,Male,Black,assaulting police officer or animal
5389,Chemical Irritant,Male,Black,fled
5390,Chemical Irritant,Female,White,tensed
5391,Bodily Force,Male,White,tensed
5392,Bodily Force,Male,other,fled
5393,Less Lethal Weapons,Male,Black,fled
5394,Bodily Force,Male,Black,fled
5395,Chemical Irritant,Male,White,other/unspecified
5396,Bodily Force,Male,Black,commission of crime
5397,Bodily Force,Male,White,tensed
5398,Chemical Irritant,Male,White,assaulting police officer or animal
5399,Bodily Force,Male,Black,assaulting police officer or animal
5400,Bodily Force,Male,Black,tensed
5401,Bodily Force,Male,Black,assaulting police officer or animal
5402,Bodily Force,Male,White,assaulting police officer or animal
5403,Chemical Irritant,Male,Black,verbal non-compliance
5404,Chemical Irritant,Male,Black,commission of crime
5405,Less Lethal Weapons,Male,other,commission of crime
5406,Bodily Force,Male,Black,commission of crime
5407,Bodily Force,Male,Black,fled
5408,Bodily Force,Female,Native American,tensed
5409,Bodily Force,Female,White,tensed
5410,Bodily Force,Male,Black,fled
5411,Bodily Force,Male,Black,fled
5412,Guns,Male,Black,other/unspecified
5413,Bodily Force,Male,White,fled
5414,Bodily Force,Male,other,fled
5415,Bodily Force,Female,Black,tensed
5416,Chemical Irritant,Female,Black,verbal non-compliance
5417,Bodily Force,Male,White,assaulting police officer or animal
5418,Bodily Force,Male,Black,assaulting police officer or animal
5419,Bodily Force,Male,White,assaulting police officer or animal
5420,Bodily Force,Male,Black,tensed
5421,Bodily Force,Male,other,fled
5422,Chemical Irritant,Male,Black,commission of crime
5423,Bodily Force,Male,Black,assaulting police officer or animal
5424,Less Lethal Weapons,Female,White,verbal non-compliance
5425,Chemical Irritant,Male,Black,commission of crime
5426,Less Lethal Weapons,Male,Black,tensed
5427,Bodily Force,Male,White,tensed
5428,Bodily Force,Male,Black,tensed
5429,Chemical Irritant,Male,Black,tensed
5430,Bodily Force,Male,Black,tensed
5431,Less Lethal Weapons,Male,Black,tensed
5432,Chemical Irritant,Male,Black,tensed
5433,Bodily Force,Male,Black,tensed
5434,Bodily Force,Male,Black,commission of crime
5435,Bodily Force,Male,Black,tensed
5436,Bodily Force,Male,Black,fled
5437,Bodily Force,Male,Black,fled
5438,Bodily Force,Male,other,assaulting police officer or animal
5439,Bodily Force,Male,White,fled
5440,Bodily Force,Male,Black,tensed
5441,Bodily Force,Male,White,verbal non-compliance
5442,Bodily Force,Male,White,commission of crime
5443,Bodily Force,Male,other,commission of crime
5444,Bodily Force,Male,Black,tensed
5445,Bodily Force,Male,Black,tensed
5446,Bodily Force,Male,Black,fled
5447,Bodily Force,Male,Black,tensed
5448,Bodily Force,Male,Black,verbal non-compliance
5449,Bodily Force,Male,Black,fled
5450,Bodily Force,Male,other,commission of crime
5451,Bodily Force,Male,Black,fled
5452,Bodily Force,Male,Black,commission of crime
5453,Bodily Force,Male,Black,commission of crime
5454,Bodily Force,Male,Black,fled
5455,Bodily Force,Male,Black,fled
5456,Bodily Force,Male,White,other/unspecified
5457,Bodily Force,Male,White,commission of crime
5458,Less Lethal Weapons,Female,Native American,assaulting police officer or animal
5459,Bodily Force,Male,Black,fled
5460,Less Lethal Weapons,Male,Black,fled
5461,Chemical Irritant,Male,White,verbal non-compliance
5462,Bodily Force,Male,Black,fled
5463,Bodily Force,Male,Black,commission of crime
5464,Bodily Force,Male,Black,assaulting police officer or animal
5465,Bodily Force,Male,Black,tensed
5466,Bodily Force,Male,Black,tensed
5467,Bodily Force,Male,Black,verbal non-compliance
5468,Bodily Force,Male,Black,verbal non-compliance
5469,Bodily Force,Male,Black,verbal non-compliance
5470,Chemical Irritant,Female,Black,other/unspecified
5471,Bodily Force,Male,Black,assaulting police officer or animal
5472,Bodily Force,Male,Black,fled
5473,Chemical Irritant,Male,White,commission of crime
5474,Less Lethal Weapons,Male,other,commission of crime
5475,Bodily Force,Male,Black,tensed
5476,Bodily Force,Male,Black,assaulting police officer or animal
5477,Bodily Force,Male,Black,assaulting police officer or animal
5478,Less Lethal Weapons,Male,White,tensed
5479,Bodily Force,Male,Black,fled
5480,Bodily Force,Male,Black,tensed
5481,Bodily Force,Male,White,tensed
5482,Bodily Force,Male,Black,assaulting police officer or animal
5483,Bodily Force,Male,Native American,verbal non-compliance
5484,Chemical Irritant,Male,Black,commission of crime
5485,Bodily Force,Male,Black,verbal non-compliance
5486,Bodily Force,Male,White,fled
5487,Bodily Force,Male,Black,tensed
5488,Chemical Irritant,Male,Native American,tensed
5489,Less Lethal Weapons,Female,Native American,commission of crime
5490,Bodily Force,Male,Black,tensed
5491,Bodily Force,Male,Black,fled
5492,Less Lethal Weapons,Male,Black,fled
5493,Bodily Force,Male,Black,tensed
5494,Bodily Force,Male,other,fled
5495,Bodily Force,Male,Black,fled
5496,Bodily Force,Male,Black,assaulting police officer or animal
5497,Bodily Force,Male,Black,tensed
5498,Bodily Force,Male,Black,tensed
5499,Bodily Force,Male,White,verbal non-compliance
5500,Less Lethal Weapons,Male,Black,fled
5501,Chemical Irritant,Male,Black,commission of crime
5502,Less Lethal Weapons,Male,other,commission of crime
5503,Bodily Force,Male,Black,other/unspecified
5504,Bodily Force,Male,other,fled
5505,Less Lethal Weapons,Male,Native American,tensed
5506,Bodily Force,Male,Black,verbal non-compliance
5507,Bodily Force,Male,Black,assaulting police officer or animal
5508,Bodily Force,Male,Black,commission of crime
5509,Bodily Force,Male,Black,verbal non-compliance
5510,Bodily Force,Male,White,tensed
5511,Chemical Irritant,Female,Black,assaulting police officer or animal
5512,Bodily Force,Female,other,assaulting police officer or animal
5513,Bodily Force,Male,other,tensed
5514,Bodily Force,Male,White,fled
5515,Less Lethal Weapons,Male,Black,tensed
5516,Bodily Force,Male,Black,verbal non-compliance
5517,Bodily Force,Female,Black,assaulting police officer or animal
5518,Bodily Force,Female,Black,tensed
5519,Bodily Force,Male,Black,tensed
5520,Bodily Force,Male,Black,tensed
5521,Chemical Irritant,Female,Black,verbal non-compliance
5522,Chemical Irritant,Male,Black,tensed
5523,Bodily Force,Male,Black,assaulting police officer or animal
5524,Bodily Force,Male,Native American,verbal non-compliance
5525,Bodily Force,Male,Black,other/unspecified
5526,Bodily Force,Male,other,fled
5527,Bodily Force,Male,Black,tensed
5528,Bodily Force,Male,Black,verbal non-compliance
5529,Bodily Force,Male,Black,assaulting police officer or animal
5530,Bodily Force,Male,Black,verbal non-compliance
5531,Bodily Force,Male,Black,commission of crime
5532,Bodily Force,Male,Black,tensed
5533,Less Lethal Weapons,Male,Black,commission of crime
5534,Bodily Force,Male,Black,fled
5535,Bodily Force,Female,White,tensed
5536,Bodily Force,Male,Black,other/unspecified
5537,Bodily Force,Male,White,tensed
5538,Bodily Force,Male,Black,other/unspecified
5539,Bodily Force,Male,Black,fled
5540,Bodily Force,Male,Black,commission of crime
5541,Bodily Force,Male,Black,fled
5542,Bodily Force,Male,Native American,assaulting police officer or animal
5543,Bodily Force,Male,Black,commission of crime
5544,Chemical Irritant,Male,Black,commission of crime
5545,Bodily Force,Male,White,assaulting police officer or animal
5546,Chemical Irritant,Male,Black,commission of crime
5547,Less Lethal Weapons,Male,Native American,verbal non-compliance
5548,Less Lethal Weapons,Male,other,commission of crime
5549,Bodily Force,Male,Black,fled
5550,Bodily Force,Male,Black,tensed
5551,Bodily Force,Male,Black,assaulting police officer or animal
5552,Less Lethal Weapons,Male,White,tensed
5553,Less Lethal Weapons,Male,Black,fled
5554,Bodily Force,Male,Black,verbal non-compliance
5555,Bodily Force,Male,Black,fled
5556,Bodily Force,Male,other,commission of crime
5557,Bodily Force,Female,Black,commission of crime
5558,Bodily Force,Male,Black,commission of crime
5559,Chemical Irritant,Male,Black,commission of crime
5560,Less Lethal Weapons,Male,Native American,commission of crime
5561,Bodily Force,Male,Black,tensed
5562,Bodily Force,Male,White,tensed
5563,Bodily Force,Female,White,assaulting police officer or animal
5564,Bodily Force,Male,Black,other/unspecified
5565,Bodily Force,Female,Black,commission of crime
5566,Bodily Force,Male,Native American,commission of crime
5567,Bodily Force,Male,other,tensed
5568,Bodily Force,Male,Black,other/unspecified
5569,Bodily Force,Male,Black,fled
5570,Bodily Force,Female,White,other/unspecified
5571,Bodily Force,Male,Black,tensed
5572,Bodily Force,Male,Black,fled
5573,Bodily Force,Male,Black,assaulting police officer or animal
5574,Bodily Force,Male,Black,commission of crime
5575,Bodily Force,Male,Black,tensed
5576,Bodily Force,Male,White,tensed
5577,Chemical Irritant,Male,Native American,commission of crime
5578,Less Lethal Weapons,Male,Black,tensed
5579,Bodily Force,Male,White,commission of crime
5580,Bodily Force,Male,Black,commission of crime
5581,Bodily Force,Male,Black,commission of crime
5582,Bodily Force,Male,Black,assaulting police officer or animal
5583,Bodily Force,Male,Black,fled
5584,Bodily Force,Male,Black,tensed
5585,Bodily Force,Male,White,tensed
5586,Bodily Force,Male,Black,fled
5587,Bodily Force,Male,Black,tensed
5588,Bodily Force,Male,White,commission of crime
5589,Chemical Irritant,Male,Black,other/unspecified
5590,Bodily Force,Male,other,tensed
5591,Bodily Force,Male,Black,fled
5592,Chemical Irritant,Male,Black,commission of crime
5593,Bodily Force,Male,Black,tensed
5594,Less Lethal Weapons,Male,White,tensed
5595,Bodily Force,Male,Black,tensed
5596,Bodily Force,Male,Black,tensed
5597,Chemical Irritant,Male,White,other/unspecified
5598,Bodily Force,Male,Native American,verbal non-compliance
5599,Bodily Force,Male,White,other/unspecified
5600,Chemical Irritant,Male,Native American,tensed
5601,Bodily Force,Male,White,fled
5602,Chemical Irritant,Male,White,tensed
5603,Bodily Force,Male,Black,tensed
5604,Less Lethal Weapons,Male,Black,commission of crime
5605,Bodily Force,Male,Black,verbal non-compliance
5606,Less Lethal Weapons,Male,Black,fled
5607,Bodily Force,Male,White,tensed
5608,Chemical Irritant,Female,Black,other/unspecified
5609,Bodily Force,Male,White,fled
5610,Bodily Force,Male,Native American,commission of crime
5611,Bodily Force,Male,Native American,fled
5612,Bodily Force,Male,White,tensed
5613,Less Lethal Weapons,Male,White,fled
5614,Bodily Force,Male,Black,tensed
5615,Less Lethal Weapons,Male,Black,commission of crime
5616,Bodily Force,Male,other,verbal non-compliance
5617,Bodily Force,Male,White,commission of crime
5618,Less Lethal Weapons,Male,Black,assaulting police officer or animal
5619,Bodily Force,Male,other,fled
5620,Bodily Force,Male,Black,fled
5621,Bodily Force,Male,White,fled
5622,Chemical Irritant,Male,White,tensed
5623,Less Lethal Weapons,Male,Black,fled
5624,Bodily Force,Male,Black,commission of crime
5625,Bodily Force,Male,Black,tensed
5626,Bodily Force,Male,Native American,assaulting police officer or animal
5627,Less Lethal Weapons,Male,Native American,tensed
5628,Bodily Force,Male,other,tensed
5629,Guns,Male,Black,tensed
5630,Chemical Irritant,Male,Black,other/unspecified
5631,Bodily Force,Male,Black,fled
5632,Bodily Force,Male,White,fled
5633,Bodily Force,Male,Black,assaulting police officer or animal
5634,Bodily Force,Male,White,verbal non-compliance
5635,Chemical Irritant,Male,Black,tensed
5636,Bodily Force,Male,Black,fled
5637,Chemical Irritant,Female,Black,other/unspecified
5638,Bodily Force,Female,Native American,tensed
5639,Chemical Irritant,Male,White,assaulting police officer or animal
5640,Less Lethal Weapons,Male,Black,commission of crime
5641,Bodily Force,Male,Black,commission of crime
5642,Bodily Force,Male,Native American,commission of crime
5643,Bodily Force,Male,White,fled
5644,Bodily Force,Male,White,commission of crime
5645,Bodily Force,Male,White,commission of crime
5646,Bodily Force,Male,Black,other/unspecified
5647,Bodily Force,Male,White,fled
5648,Bodily Force,Male,Black,fled
5649,Less Lethal Weapons,Male,Black,commission of crime
5650,Chemical Irritant,Male,Black,assaulting police officer or animal
5651,Bodily Force,Male,Black,tensed
5652,Bodily Force,Male,White,assaulting police officer or animal
5653,Chemical Irritant,Male,Black,commission of crime
5654,Bodily Force,Male,White,commission of crime
5655,Chemical Irritant,Male,White,verbal non-compliance
5656,Bodily Force,Female,Black,commission of crime
5657,Bodily Force,Male,Black,fled
5658,Bodily Force,Male,Black,assaulting police officer or animal
5659,Bodily Force,Male,other,fled
5660,Less Lethal Weapons,Male,Black,tensed
5661,Less Lethal Weapons,Male,White,verbal non-compliance
5662,Bodily Force,Male,White,fled
5663,Less Lethal Weapons,Male,White,verbal non-compliance
5664,Less Lethal Weapons,Male,Black,commission of crime
5665,Chemical Irritant,Male,White,commission of crime
5666,Bodily Force,Male,Native American,fled
5667,Bodily Force,Male,Black,tensed
5668,Bodily Force,Male,Black,tensed
5669,Less Lethal Weapons,Male,White,fled
5670,Chemical Irritant,Male,other,tensed
5671,Bodily Force,Male,Black,verbal non-compliance
5672,Bodily Force,Male,Black,other/unspecified
5673,Bodily Force,Male,Black,commission of crime
5674,Bodily Force,Male,Black,fled
5675,Bodily Force,Male,Black,tensed
5676,Bodily Force,Male,Black,fled
5677,Less Lethal Weapons,Male,Black,commission of crime
5679,Bodily Force,Male,Black,fled
5680,Bodily Force,Male,Black,tensed
5681,Bodily Force,Male,Black,fled
5682,Bodily Force,Male,Black,fled
5683,Bodily Force,Male,Native American,tensed
5684,Bodily Force,Male,Black,fled
5685,Bodily Force,Male,White,assaulting police officer or animal
5686,Bodily Force,Female,White,tensed
5687,Guns,Male,Black,fled
5688,Bodily Force,Male,Black,fled
5689,Bodily Force,Male,Black,tensed
5690,Bodily Force,Male,Black,tensed
5691,Bodily Force,Male,Black,fled
5692,Less Lethal Weapons,Male,Black,fled
5693,Bodily Force,Male,other,tensed
5694,Bodily Force,Male,White,assaulting police officer or animal
5695,Bodily Force,Male,Black,other/unspecified
5696,Less Lethal Weapons,Male,other,commission of crime
5697,Bodily Force,Male,Black,tensed
5698,Bodily Force,Male,Black,fled
5699,Chemical Irritant,Male,White,commission of crime
5700,Bodily Force,Male,other,fled
5701,Bodily Force,Male,Black,fled
5702,Less Lethal Weapons,Female,Black,commission of crime
5703,Bodily Force,Male,Black,tensed
5704,Less Lethal Weapons,Male,other,tensed
5705,Bodily Force,Male,Black,commission of crime
5706,Bodily Force,Male,White,assaulting police officer or animal
5707,Bodily Force,Male,Black,fled
5708,Bodily Force,Female,Black,other/unspecified
5709,Bodily Force,Male,Black,verbal non-compliance
5710,Chemical Irritant,Male,Black,fled
5711,Bodily Force,Male,Black,tensed
5712,Bodily Force,Male,Black,tensed
5713,Bodily Force,Male,Black,fled
5714,Bodily Force,Male,Black,commission of crime
5715,Bodily Force,Male,Black,other/unspecified
5716,Bodily Force,Male,Native American,fled
5717,Less Lethal Weapons,Female,Black,commission of crime
5718,Less Lethal Weapons,Male,White,other/unspecified
5719,Bodily Force,Male,Black,tensed
5720,Bodily Force,Male,Black,fled
5721,Bodily Force,Male,Black,fled
5722,Chemical Irritant,Male,other,commission of crime
5723,Bodily Force,Male,Black,assaulting police officer or animal
5724,Bodily Force,Male,other,fled
5725,Bodily Force,Male,other,tensed
5726,Chemical Irritant,Male,other,commission of crime
5727,Bodily Force,Male,White,fled
5728,Less Lethal Weapons,Male,Black,fled
