,ForceType,Sex,Race,TypeOfResistance
316,Bodily Force,Male,White,commission of crime
317,Bodily Force,Male,other,fled
318,Bodily Force,Male,Black,fled
319,Bodily Force,Male,Black,fled
320,Bodily Force,Male,White,tensed
321,Chemical Irritant,Female,White,commission of crime
322,Bodily Force,Male,Black,tensed
323,Less Lethal Weapons,Male,White,fled
324,Bodily Force,Male,other,tensed
325,Bodily Force,Male,Black,verbal non-compliance
326,Bodily Force,Male,Black,fled
327,Bodily Force,Male,Black,fled
328,Less Lethal Weapons,Male,Black,fled
329,Bodily Force,Male,White,other/unspecified
330,Bodily Force,Male,White,fled
331,Less Lethal Weapons,Male,Black,fled
332,Chemical Irritant,Female,Black,verbal non-compliance
333,Bodily Force,Male,Black,tensed
334,Bodily Force,Male,Native American,tensed
335,Bodily Force,Male,White,other/unspecified
336,Bodily Force,Male,White,other/unspecified
337,Bodily Force,Male,White,commission of crime
338,Less Lethal Weapons,Male,other,fled
339,Bodily Force,Male,Black,tensed
340,Bodily Force,Male,Black,commission of crime
341,Bodily Force,Male,Black,commission of crime
342,Bodily Force,Male,Black,fled
343,Less Lethal Weapons,Male,Black,fled
344,Bodily Force,Male,White,fled
345,Chemical Irritant,Female,Black,other/unspecified
346,Less Lethal Weapons,Male,White,tensed
347,Less Lethal Weapons,Male,Black,verbal non-compliance
348,Bodily Force,Male,Black,commission of crime
349,Bodily Force,Male,Native American,commission of crime
350,Bodily Force,Male,Black,assaulting police officer or animal
351,Bodily Force,Female,Black,assaulting police officer or animal
352,Less Lethal Weapons,Male,White,commission of crime
353,Bodily Force,Male,Black,fled
354,Less Lethal Weapons,Male,White,tensed
355,Bodily Force,Male,Black,fled
356,Bodily Force,Male,Black,fled
357,Bodily Force,Male,Black,other/unspecified
358,Bodily Force,Male,White,tensed
359,Less Lethal Weapons,Male,Black,fled
360,Bodily Force,Male,Black,fled
361,Bodily Force,Male,Black,tensed
362,Bodily Force,Male,White,verbal non-compliance
363,Bodily Force,Male,White,tensed
364,Bodily Force,Male,Black,other/unspecified
365,Chemical Irritant,Male,Black,tensed
366,Bodily Force,Male,Black,assaulting police officer or animal
367,Bodily Force,Male,Black,other/unspecified
368,Bodily Force,Male,Black,fled
369,Bodily Force,Male,Black,commission of crime
370,Bodily Force,Male,Black,commission of crime
371,Chemical Irritant,Female,Black,commission of crime
372,Bodily Force,Male,Black,tensed
373,Less Lethal Weapons,Male,Native American,commission of crime
374,Bodily Force,Male,White,tensed
375,Bodily Force,Female,Black,tensed
376,Bodily Force,Male,White,tensed
377,Chemical Irritant,Male,Black,other/unspecified
378,Bodily Force,Male,White,verbal non-compliance
379,Chemical Irritant,Male,Black,assaulting police officer or animal
380,Less Lethal Weapons,Male,Black,verbal non-compliance
381,Chemical Irritant,Female,Black,tensed
382,Bodily Force,Male,White,assaulting police officer or animal
383,Bodily Force,Female,White,verbal non-compliance
384,Bodily Force,Female,other,tensed
385,Chemical Irritant,Male,Black,tensed
386,Bodily Force,Male,Black,commission of crime
387,Less Lethal Weapons,Male,Black,tensed
388,Bodily Force,Male,Black,tensed
389,Bodily Force,Male,other,verbal non-compliance
390,Guns,Male,Black,commission of crime
391,Bodily Force,Male,White,tensed
392,Bodily Force,Male,Black,commission of crime
393,Bodily Force,Male,White,verbal non-compliance
394,Bodily Force,Male,Black,commission of crime
395,Bodily Force,Female,Native American,tensed
396,Bodily Force,Male,Black,other/unspecified
397,Bodily Force,Male,Black,fled
398,Less Lethal Weapons,Male,White,other/unspecified
399,Less Lethal Weapons,Male,Black,tensed
400,Bodily Force,Male,Black,fled
401,Bodily Force,Male,Black,assaulting police officer or animal
402,Bodily Force,Male,Black,fled
403,Bodily Force,Male,Black,commission of crime
404,Bodily Force,Male,White,verbal non-compliance
405,Bodily Force,Male,White,other/unspecified
406,Chemical Irritant,Female,Black,verbal non-compliance
407,Bodily Force,Male,White,tensed
408,Bodily Force,Male,Black,fled
409,Bodily Force,Male,White,verbal non-compliance
410,Bodily Force,Male,Black,fled
411,Bodily Force,Male,White,fled
412,Bodily Force,Male,Black,tensed
413,Less Lethal Weapons,Male,Black,tensed
414,Less Lethal Weapons,Male,Black,fled
415,Bodily Force,Male,Black,tensed
416,Bodily Force,Male,Black,verbal non-compliance
417,Bodily Force,Male,Black,fled
418,Less Lethal Weapons,Male,White,tensed
419,Bodily Force,Male,Black,other/unspecified
420,Bodily Force,Male,Black,fled
421,Bodily Force,Female,Black,commission of crime
422,Chemical Irritant,Male,Black,tensed
423,Bodily Force,Male,White,verbal non-compliance
424,Less Lethal Weapons,Male,Black,commission of crime
425,Bodily Force,Male,Black,tensed
426,Bodily Force,Female,White,verbal non-compliance
427,Bodily Force,Male,Black,commission of crime
428,Less Lethal Weapons,Male,Black,verbal non-compliance
429,Bodily Force,Male,White,fled
430,Less Lethal Weapons,Male,White,tensed
431,Bodily Force,Male,Black,fled
432,Less Lethal Weapons,Male,Native American,other/unspecified
433,Bodily Force,Male,Black,fled
434,Bodily Force,Male,White,fled
435,Bodily Force,Male,Black,fled
436,Bodily Force,Male,Black,fled
437,Chemical Irritant,Male,Black,commission of crime
438,Less Lethal Weapons,Male,Native American,tensed
439,Bodily Force,Male,Black,verbal non-compliance
440,Bodily Force,Female,White,verbal non-compliance
441,Bodily Force,Male,Black,tensed
442,Bodily Force,Male,Black,fled
443,Bodily Force,Male,Black,verbal non-compliance
444,Less Lethal Weapons,Male,White,commission of crime
445,Bodily Force,Male,White,commission of crime
446,Bodily Force,Male,Black,verbal non-compliance
447,Bodily Force,Male,White,tensed
448,Bodily Force,Female,Black,tensed
449,Bodily Force,Male,Black,tensed
450,Chemical Irritant,Male,Native American,other/unspecified
451,Bodily Force,Male,Black,other/unspecified
452,Bodily Force,Male,Black,commission of crime
453,Bodily Force,Male,Black,commission of crime
454,Bodily Force,Male,Black,tensed
455,Bodily Force,Female,Black,other/unspecified
456,Less Lethal Weapons,Male,Native American,verbal non-compliance
457,Bodily Force,Male,White,verbal non-compliance
458,Bodily Force,Male,Black,tensed
459,Bodily Force,Male,Black,fled
460,Bodily Force,Male,White,assaulting police officer or animal
461,Bodily Force,Male,White,verbal non-compliance
462,Less Lethal Weapons,Male,Black,verbal non-compliance
463,Bodily Force,Male,Black,fled
464,Less Lethal Weapons,Male,Black,commission of crime
465,Bodily Force,Male,Black,commission of crime
466,Bodily Force,Male,Black,tensed
467,Bodily Force,Male,Black,fled
468,Bodily Force,Male,White,tensed
469,Bodily Force,Male,Black,fled
470,Bodily Force,Male,Black,fled
471,Chemical Irritant,Male,Black,verbal non-compliance
472,Bodily Force,Male,Black,fled
473,Less Lethal Weapons,Female,Black,tensed
474,Less Lethal Weapons,Male,White,commission of crime
475,Less Lethal Weapons,Male,other,tensed
476,Bodily Force,Male,White,fled
477,Bodily Force,Male,Black,fled
478,Chemical Irritant,Male,Black,verbal non-compliance
479,Bodily Force,Male,Black,tensed
480,Bodily Force,Male,White,fled
481,Bodily Force,Male,other,verbal non-compliance
482,Bodily Force,Male,White,fled
483,Bodily Force,Male,Black,tensed
484,Less Lethal Weapons,Male,White,commission of crime
485,Bodily Force,Male,Black,commission of crime
486,Less Lethal Weapons,Male,Black,fled
487,Chemical Irritant,Male,Black,fled
488,Less Lethal Weapons,Male,Black,fled
489,Chemical Irritant,Male,White,other/unspecified
490,Bodily Force,Male,Black,fled
491,Bodily Force,Male,White,other/unspecified
492,Less Lethal Weapons,Female,Black,tensed
493,Bodily Force,Male,Black,verbal non-compliance
494,Bodily Force,Female,Native American,fled
495,Bodily Force,Male,Black,tensed
496,Bodily Force,Male,other,fled
497,Bodily Force,Male,Black,commission of crime
498,Bodily Force,Male,Black,commission of crime
499,Less Lethal Weapons,Male,Black,fled
500,Bodily Force,Male,Black,fled
501,Bodily Force,Male,Black,tensed
502,Less Lethal Weapons,Male,Black,fled
503,Bodily Force,Male,other,tensed
504,Bodily Force,Male,Native American,assaulting police officer or animal
505,Bodily Force,Male,Black,commission of crime
506,Bodily Force,Male,Black,tensed
507,Chemical Irritant,Male,Black,commission of crime
508,Bodily Force,Male,Black,fled
509,Bodily Force,Male,other,assaulting police officer or animal
510,Bodily Force,Male,Black,tensed
511,Bodily Force,Male,Black,verbal non-compliance
512,Bodily Force,Female,Black,other/unspecified
513,Less Lethal Weapons,Male,White,fled
514,Less Lethal Weapons,Male,Black,assaulting police officer or animal
515,Bodily Force,Male,Black,tensed
516,Bodily Force,Male,Native American,tensed
517,Less Lethal Weapons,Male,White,commission of crime
518,Less Lethal Weapons,Male,Black,fled
519,Bodily Force,Male,White,tensed
520,Less Lethal Weapons,Male,Black,fled
521,Bodily Force,Male,White,verbal non-compliance
522,Bodily Force,Male,Black,commission of crime
523,Bodily Force,Male,Black,tensed
524,Bodily Force,Male,White,fled
525,Bodily Force,Male,White,tensed
526,Bodily Force,Male,Black,fled
527,Bodily Force,Female,White,tensed
528,Less Lethal Weapons,Female,Native American,tensed
529,Less Lethal Weapons,Male,Black,tensed
530,Bodily Force,Male,Black,assaulting police officer or animal
531,Bodily Force,Male,Black,tensed
532,Bodily Force,Male,White,tensed
533,Less Lethal Weapons,Male,Native American,tensed
534,Bodily Force,Male,Black,fled
535,Bodily Force,Male,White,verbal non-compliance
536,Less Lethal Weapons,Male,Black,tensed
537,Bodily Force,Male,Black,fled
